LogID,lat,lon,alt,time
414,52.393038333,13.041258333,33.0,2023-01-20T15:38:19.000Z
415,52.39301,13.04126,34.9,2023-01-20T15:38:21.000Z
416,52.393051667,13.041256667,36.2,2023-01-20T15:38:22.000Z
417,52.393061667,13.041245,36.8,2023-01-20T15:38:25.000Z
418,52.39311,13.041213333,35.0,2023-01-20T15:38:27.000Z
419,52.393151667,13.0412,36.0,2023-01-20T15:38:29.000Z
420,52.393173333,13.041195,36.7,2023-01-20T15:38:31.000Z
421,52.393198333,13.041188333,35.9,2023-01-20T15:38:33.000Z
422,52.393228333,13.04118,33.9,2023-01-20T15:38:35.000Z
423,52.393261667,13.041175,34.1,2023-01-20T15:38:37.000Z
424,52.393281667,13.041168333,33.0,2023-01-20T15:38:39.000Z
425,52.39331,13.04117,30.2,2023-01-20T15:38:41.000Z
426,52.39331,13.04117,30.2,2023-01-20T15:38:41.000Z
427,52.393346667,13.04116,32.8,2023-01-20T15:38:45.000Z
428,52.393366667,13.041163333,31.2,2023-01-20T15:38:47.000Z
429,52.393366667,13.041163333,31.2,2023-01-20T15:38:47.000Z
430,52.393441667,13.041168333,30.1,2023-01-20T15:38:52.000Z
431,52.393466667,13.041166667,30.8,2023-01-20T15:38:54.000Z
432,52.393466667,13.041166667,30.8,2023-01-20T15:38:54.000Z
433,52.393526667,13.041161667,29.3,2023-01-20T15:38:58.000Z
434,52.39355,13.041161667,29.0,2023-01-20T15:39:00.000Z
435,52.39356,13.041155,28.3,2023-01-20T15:39:01.000Z
436,52.393596667,13.04115,27.3,2023-01-20T15:39:04.000Z
437,52.393621667,13.04115,27.4,2023-01-20T15:39:06.000Z
438,52.393645,13.041143333,28.2,2023-01-20T15:39:08.000Z
439,52.393666667,13.041131667,28.0,2023-01-20T15:39:10.000Z
440,52.393683333,13.04113,29.5,2023-01-20T15:39:12.000Z
441,52.393716667,13.041143333,30.3,2023-01-20T15:39:14.000Z
442,52.393716667,13.041143333,30.3,2023-01-20T15:39:14.000Z
443,52.393761667,13.041155,31.1,2023-01-20T15:39:18.000Z
444,52.393795,13.041141667,30.8,2023-01-20T15:39:20.000Z
445,52.393795,13.041141667,30.8,2023-01-20T15:39:20.000Z
446,52.393848333,13.041156667,30.7,2023-01-20T15:39:24.000Z
447,52.393863333,13.041146667,34.0,2023-01-20T15:39:26.000Z
448,52.393863333,13.041146667,34.0,2023-01-20T15:39:26.000Z
449,52.393921667,13.041086667,34.9,2023-01-20T15:39:31.000Z
450,52.393946667,13.041085,35.8,2023-01-20T15:39:33.000Z
